image,image_path,sequence,image_number,emotion
S111_007_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000008.png,S111_007,8,3
S111_007_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000009.png,S111_007,9,3
S111_007_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000013.png,S111_007,13,3
S111_007_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000007.png,S111_007,7,3
S111_007_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000006.png,S111_007,6,3
S111_007_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000012.png,S111_007,12,3
S111_007_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000004.png,S111_007,4,0
S111_007_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000010.png,S111_007,10,3
S111_007_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000011.png,S111_007,11,3
S111_007_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000005.png,S111_007,5,3
S111_007_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000001.png,S111_007,1,0
S111_007_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000014.png,S111_007,14,3
S111_007_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000002.png,S111_007,2,0
S111_007_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S111/007/S111_007_00000003.png,S111_007,3,0
S111_001_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000009.png,S111_001,9,7
S111_001_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000008.png,S111_001,8,7
S111_001_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000014.png,S111_001,14,7
S111_001_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000001.png,S111_001,1,0
S111_001_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000003.png,S111_001,3,0
S111_001_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000002.png,S111_001,2,0
